text,paraphrases,category,source
"President Franklin Delano Roosevelt, Johnny Weissmuller, Judy Collins, Jack Nicklaus, Dinah Shore, Alan Alda, Joni Mitchell and many more.","['Many notable figures such as President Franklin Delano Roosevelt, Johnny Weissmuller, Judy Collins, Jack Nicklaus, Dinah Shore, Alan Alda, and Joni Mitchell are included.', 'President Franklin Delano Roosevelt, Johnny Weissmuller, Judy Collins, Jack Nicklaus, Dinah Shore, Alan Alda, Joni Mitchell, and numerous others are mentioned.', 'The list of prominent individuals includes President Franklin Delano Roosevelt, Johnny Weissmuller, Judy Collins, Jack Nicklaus, Dinah Shore, Alan Alda, Joni Mitchell, and many more.', 'President Franklin Delano Roosevelt, Johnny Weissmuller, Judy Collins, Jack Nicklaus, Dinah Shore, Alan Alda, Joni Mitchell, and a host of other notable personalities are listed.', 'Included in the list of distinguished individuals are President Franklin Delano Roosevelt, Johnny Weissmuller, Judy Collins, Jack Nicklaus, Dinah Shore, Alan Alda, Joni Mitchell, and many others.']",sentence,cnn_news
"These polio survivors had significant physical problems but refused the label disabled, and never accepted the word ""can't.""","['Despite facing significant physical challenges, these polio survivors rejected the label of being disabled and never gave in to the notion of ""can\'t.""', 'The polio survivors in question experienced major physical difficulties, yet they refused to be labeled as disabled and never accepted the word ""can\'t.""', 'These individuals who survived polio had notable physical impairments, but they refused to be classified as disabled and never accepted the idea of ""can\'t.""', 'Despite facing significant physical limitations, these polio survivors refused to be labeled as disabled and never accepted the notion of ""can\'t.""', 'The polio survivors in question had significant physical problems, but they refused to be classified as disabled and never accepted the word ""can\'t.""']",sentence,cnn_news
"To them, to me, and I predict to these bombing survivors, disability is simply ""different ability""; and just you watch, maybe even ""superability.""","['Disability is perceived as ""different ability"" by them, me, and potentially even the bombing survivors, and it may even be considered a form of ""superability.""', 'The concept of disability is viewed as ""different ability"" by them, me, and it is possible that the bombing survivors may also see it this way, and it could even be seen as a type of ""superability.""', 'They, me, and possibly the bombing survivors see disability as ""different ability,"" and it could potentially be seen as a form of ""superability.""', 'Disability is seen as ""different ability"" by them, me, and it is predicted that the bombing survivors may also view it this way, and it may even be considered a type of ""superability.""', 'The perception of disability as ""different ability"" is shared by them, me, and it is anticipated that the bombing survivors may also see it this way, and it could even be seen as a form of ""superability.""']",sentence,cnn_news
The opinions expressed in this commentary are solely those of Jothy Rosenberg.,"['Jothy Rosenberg is the only one responsible for the views presented in this commentary.', 'The thoughts conveyed in this commentary belong exclusively to Jothy Rosenberg.', 'Only Jothy Rosenberg is accountable for the viewpoints expressed in this commentary.', 'The opinions put forth in this commentary are entirely attributed to Jothy Rosenberg.', 'Jothy Rosenberg is the sole author of the opinions expressed in this commentary.']",sentence,cnn_news
Matt Chorley and Tamara Cohen .,"['Tamara Cohen and Matt Chorley.', 'Chorley and Cohen, Matt and Tamara.', 'The duo of Matt Chorley and Tamara Cohen.', 'Matt Chorley and Tamara Cohen, a pair of journalists.', 'Tamara Cohen and Matt Chorley, both reporters.']",sentence,cnn_news
"Millions of families could benefit from a crackdown on water bills, as David Cameron tries to seize back the cost of living agenda.","['David Cameron aims to reclaim the cost of living agenda by implementing measures to reduce water bills, which could potentially benefit millions of families.', 'A crackdown on water bills could be advantageous for millions of households, as David Cameron endeavors to regain control of the cost of living agenda.', 'Millions of families stand to gain from a clampdown on water bills, as David Cameron strives to take back the reins of the cost of living agenda.', ""David Cameron's efforts to recapture the cost of living agenda include measures to lower water bills, which could potentially benefit millions of families."", ""A reduction in water bills, as part of David Cameron's strategy to reclaim the cost of living agenda, could have a positive impact on millions of households.""]",sentence,cnn_news
"Ministers will announce a package of measures to shake up the market next week, to ensure customers get a ‘good deal’.","['Next week, a set of measures will be unveiled by ministers to revamp the market and guarantee a fair deal for customers.', 'A range of initiatives will be introduced by ministers next week to overhaul the market and ensure customers receive a favorable deal.', 'To guarantee a beneficial deal for customers, ministers will declare a series of measures to shake up the market next week.', 'Next week, ministers will reveal a package of measures aimed at reforming the market and ensuring customers receive a good deal.', 'A set of measures will be announced by ministers next week to transform the market and guarantee a favorable deal for customers.']",sentence,cnn_news
"While households have no choice over their water supplier, it is expected to include more discounts or ‘social tariffs’ for pensioners and the low paid.","['Although households cannot choose their water supplier, it is anticipated that they will offer more discounts or ""social tariffs"" for pensioners and low-income earners.', 'Despite the fact that households are unable to select their water provider, it is projected that they will provide additional discounts or ""social tariffs"" for senior citizens and those with low incomes.', 'While households are not given the option to choose their water supplier, it is predicted that they will provide more discounts or ""social tariffs"" for pensioners and individuals with low wages.', 'Even though households have no say in their water supplier, it is expected that they will offer more discounts or ""social tariffs"" for pensioners and those who earn less.', 'Although households are not able to choose their water supplier, it is anticipated that they will provide more discounts or ""social tariffs"" for senior citizens and low-income earners.']",sentence,cnn_news
This would also help reduce the soaring burden of bad debts – worth around £1.6billion a year – which firms currently add to the water bills of other households.,"['Firms can lessen the high cost of bad debts, which is approximately £1.6 billion annually, by implementing this measure. This will also prevent them from passing on the burden to other households through their water bills.', 'The implementation of this measure can aid in reducing the escalating burden of bad debts, which is valued at around £1.6 billion per year. This will also prevent firms from transferring the burden to other households through their water bills.', 'By adopting this measure, firms can decrease the mounting cost of bad debts, which is estimated to be £1.6 billion annually. This will also prevent them from transferring the burden to other households through their water bills.', 'The adoption of this measure can assist in lowering the surging cost of bad debts, which is worth approximately £1.6 billion per year. This will also prevent firms from transferring the burden to other households through their water bills.', 'This measure can aid in reducing the soaring burden of bad debts, which is valued at around £1.6 billion annually. This will also prevent firms from passing on the burden to other households through their water bills.']",sentence,cnn_news
"Bills: David Cameron, pictured on a visit to the M4 outside Cardiff today, has ordered ministers to draw up action on water charges .","['David Cameron has instructed his ministers to develop a plan of action regarding water charges, as seen during his visit to the M4 near Cardiff today.', 'During his visit to the M4 outside Cardiff, David Cameron has directed his ministers to create a strategy for addressing water charges.', 'David Cameron, who was photographed during his visit to the M4 near Cardiff today, has mandated his ministers to devise a plan of action for water charges.', 'On his visit to the M4 outside Cardiff, David Cameron has instructed his ministers to formulate a course of action for water charges.', 'David Cameron has ordered his ministers to develop a plan of action for water charges, as seen during his visit to the M4 near Cardiff today.']",sentence,cnn_news
"Unlike energy firms, whose prices are .","[""Energy companies' prices differ from those of other firms."", 'The prices of energy firms are not the same as those of other companies.', ""Energy corporations' prices are distinct from those of other businesses."", 'Unlike other firms, energy companies have different pricing structures.', ""Energy firms' prices are dissimilar to those of other organizations.""]",sentence,cnn_news
"hiked every year by the Big Six firms, annual water bills, currently an .","['The Big Six firms have increased annual water bills every year, which are currently at an all-time high.', 'Annual water bills have been raised every year by the Big Six firms, and they are currently at a peak.', 'The Big Six firms have consistently raised annual water bills every year, and they are currently at a high point.', 'Every year, the Big Six firms have hiked up annual water bills, which are currently at a maximum.', 'Annual water bills have been increased by the Big Six firms every year, and they are currently at a record high.']",sentence,cnn_news
"average of £388 per family, are set in advance by industry regulator .","['The industry regulator sets predetermined prices of £388 per family on average.', 'The average cost of £388 per family is established beforehand by the industry regulator.', 'The industry regulator predefines the cost of £388 per family on average.', 'The industry regulator sets the average cost of £388 per family in advance.', 'The predetermined cost of £388 per family on average is established by the industry regulator.']",sentence,cnn_news
But water firms have been criticised .,"['Water companies have faced criticism.', 'Criticism has been directed towards water firms.', 'Water firms have come under fire for their actions.', 'There has been negative feedback towards water companies.', 'Water companies have been the subject of criticism.']",sentence,cnn_news
"for using legal loopholes to avoid £1billion of corporation tax, and .","['For exploiting legal loopholes to evade £1billion of corporate tax, and...', 'For utilizing legal loopholes to circumvent £1billion of corporation tax, and...', 'For taking advantage of legal loopholes to sidestep £1billion of corporate tax, and...', 'For leveraging legal loopholes to dodge £1billion of corporation tax, and...', 'For manipulating legal loopholes to escape £1billion of corporate tax, and...']",sentence,cnn_news
paying millions of pounds in bonuses to their executives during last .,"['During the previous year, their executives were awarded millions of pounds in bonuses.', 'Their executives received millions of pounds in bonuses in the past year.', 'Millions of pounds were paid out in bonuses to their executives in the last year.', 'Last year, their executives were given millions of pounds in bonuses.', 'The company paid out millions of pounds in bonuses to their executives during the previous year.']",sentence,cnn_news
The move comes as Labour leader Ed .,"[""Ed's move is happening as the Labour leader."", 'The Labour leader, Ed, is making a move.', ""Ed's decision is being made as the leader of Labour."", 'The move is being made by Ed, who is the Labour leader.', 'As the leader of Labour, Ed is making a move.']",sentence,cnn_news
Miliband called for the water industry to be ‘scrutinised’ to ensure it .,"['Miliband demanded that the water industry be thoroughly examined to guarantee its effectiveness.', 'Miliband urged for a close inspection of the water industry to ensure its proper functioning.', 'Miliband requested that the water industry be scrutinized to ensure its efficiency.', 'Miliband advocated for a thorough investigation of the water industry to ensure its proper operation.', 'Miliband called for the water industry to be closely examined to ensure its effectiveness.']",sentence,cnn_news
"The coalition has been stung by claims it has failed to act on easing the squeeze on family finances, with Mr Miliband taking the lead with his promise to freeze gas and electricity bills for two years if he wins the next election.","['The coalition has been accused of neglecting to alleviate the financial burden on families, and Mr Miliband has stepped forward with his proposal to freeze energy bills for two years if he becomes the next prime minister.', 'Claims have been made that the coalition has not done enough to alleviate the financial strain on families, and Mr Miliband has taken the initiative by pledging to freeze gas and electricity bills for two years if he is elected.', 'The coalition has been criticized for its inaction in easing the financial pressure on families, while Mr Miliband has emerged as a leader by promising to freeze energy bills for two years if he wins the upcoming election.', 'Accusations have been made against the coalition for failing to address the financial difficulties faced by families, and Mr Miliband has taken the lead by offering to freeze gas and electricity bills for two years if he becomes the next prime minister.', 'The coalition has been stung by allegations that it has not done enough to alleviate the financial burden on families, and Mr Miliband has taken the initiative by proposing to freeze energy bills for two years if he wins the next election.']",sentence,cnn_news
But today Number 10 insisted Mr Cameron ‘wants to see household costs coming down’ and targeting the water industry will be the next stage.,"['Number 10 emphasized that Mr Cameron desires a reduction in household expenses and the water industry is the next target.', ""Mr Cameron's goal of reducing household costs was reiterated by Number 10, with the water industry being the next area of focus."", 'The reduction of household expenses is a priority for Mr Cameron, as stated by Number 10, and the water industry is the next step in achieving this goal.', 'Number 10 affirmed that Mr Cameron aims to lower household costs and the water industry will be the next sector to be addressed.', ""The next phase in Mr Cameron's plan to decrease household expenses, as stated by Number 10, is to target the water industry.""]",sentence,cnn_news
"The Department for Environment, Food and Rural Affairs has already offered water customers in the South West a £50 rebate to tackle historically high bills.","['The Department for Environment, Food and Rural Affairs has provided a £50 rebate to water customers in the South West to address their historically high bills.', 'Water customers in the South West have been given a £50 rebate by the Department for Environment, Food and Rural Affairs to combat their historically high bills.', 'To address the issue of historically high bills, the Department for Environment, Food and Rural Affairs has already given water customers in the South West a £50 rebate.', 'A £50 rebate has been offered by the Department for Environment, Food and Rural Affairs to water customers in the South West to tackle their historically high bills.', 'The Department for Environment, Food and Rural Affairs has already granted a £50 rebate to water customers in the South West to deal with their historically high bills.']",sentence,cnn_news
"However, the new action to be set out by Environment Secretary Owen Paterson is likely to offer help to customers across England with the details expected to be agreed this weekend.","['The Environment Secretary Owen Paterson is expected to introduce a new plan that could potentially assist customers across England, with the specifics to be finalized this weekend.', 'It is anticipated that the Environment Secretary Owen Paterson will unveil a fresh initiative that could provide aid to customers throughout England, with the particulars set to be determined this weekend.', 'The Environment Secretary Owen Paterson is likely to propose a new measure that could offer assistance to customers across England, with the specifics expected to be finalized this weekend.', 'A new action is expected to be introduced by the Environment Secretary Owen Paterson, which could potentially provide help to customers across England, with the details set to be agreed upon this weekend.', 'The Environment Secretary Owen Paterson is anticipated to set out a new plan that could potentially offer support to customers throughout England, with the particulars expected to be determined this weekend.']",sentence,cnn_news
Mr Cameron’s official spokesman said: ‘Clearly the Prime Minister wants to see household costs coming down.,"[""The Prime Minister desires a reduction in household expenses, according to Mr Cameron's official spokesperson."", ""Mr Cameron's representative stated that the Prime Minister is keen on lowering household costs."", 'The official spokesperson for Mr Cameron stated that the Prime Minister is committed to reducing household expenses.', ""According to Mr Cameron's official spokesperson, the Prime Minister is eager to see a decrease in household costs."", ""Mr Cameron's representative stated that the Prime Minister is determined to bring down household expenses.""]",sentence,cnn_news
"action to freeze council tax bills, limit rail fare rises and cancel .","['Measures to halt council tax increases, cap rail fare hikes, and scrap...', 'Steps taken to freeze council tax bills, restrict rail fare escalations, and annul...', 'Actions implemented to prevent council tax hikes, cap rail fare increases, and revoke...', 'Initiatives introduced to stop council tax rises, limit rail fare upsurges, and abolish...', 'Efforts made to suspend council tax bills, cap rail fare hikes, and eliminate...']",sentence,cnn_news
"increases in the cost of MoTs, he added.","['He stated that there has been a rise in the expenses associated with MoTs.', 'The cost of MoTs has gone up, according to his statement.', 'He mentioned that there has been an increase in the price of MoTs.', 'The expense of MoTs has been on the rise, as he pointed out.', 'He noted that the cost of MoTs has escalated.']",sentence,cnn_news
watchdog Ofwat is preparing to block an eight per cent rise in charges .,"['Ofwat, the regulatory body, is getting ready to prevent an increase of eight percent in fees.', 'The watchdog Ofwat is gearing up to reject an eight percent hike in charges.', 'Ofwat, the overseer, is set to disallow an eight percent surge in fees.', 'The regulatory authority Ofwat is preparing to prohibit an eight percent escalation in charges.', 'Ofwat, the monitoring agency, is about to stop an eight percent rise in fees.']",sentence,cnn_news
"demanded by Thames Water for next year, which would add an extra £28 to .","['Thames Water has demanded an additional £28 for next year.', 'An extra £28 has been requested by Thames Water for the upcoming year.', 'Thames Water is requiring an additional £28 for the following year.', 'An extra £28 has been demanded by Thames Water for the next fiscal year.', 'Thames Water has stipulated an additional £28 for the upcoming year.']",sentence,cnn_news
spokesman added: ‘The Prime Minister wants regulators there to look at .,"['The Prime Minister has requested regulators to investigate the matter, according to the spokesman.', 'The spokesman stated that the Prime Minister has urged regulators to examine the issue.', 'Regulators have been instructed by the Prime Minister to review the matter, as per the spokesman.', 'The Prime Minister has expressed a desire for regulators to scrutinize the issue, according to the spokesman.', 'The spokesman reported that the Prime Minister has called for regulators to investigate the matter.']",sentence,cnn_news
the industries they regulate and make sure that they are as robust and .,"['They oversee the industries to ensure their strength and resilience.', 'Their responsibility is to monitor and ensure the durability of the industries they regulate.', 'The industries under their supervision must be sturdy and secure.', 'They are in charge of ensuring the industries they regulate are strong and reliable.', 'Their duty is to guarantee the industries they oversee are robust and dependable.']",sentence,cnn_news
delivering what they need to deliver for customers.,"['Providing customers with what they require.', 'Meeting the demands of customers.', 'Fulfilling customer needs.', 'Supplying customers with what they want.', 'Satisfying customer requirements.']",sentence,cnn_news
"He wants to see prices brought down across the board.’ Options being considered include making social tariffs for the poorest customers compulsory, capping fare rises to an amount linked to inflation and cutting the bad debt caused by customers who refuse to pay which adds £15-a-year to every bill.","['He desires a reduction in prices across all categories, and potential solutions include mandatory social tariffs for the most impoverished clients, limiting fare increases to inflation-linked amounts, and reducing the bad debt caused by non-paying customers, which adds £15 to each bill annually.', 'His goal is to lower prices across the board, and potential measures include mandatory social tariffs for the poorest customers, capping fare increases to inflation-linked amounts, and reducing bad debt caused by non-paying customers, which adds £15 to each bill annually.', 'He aims to bring down prices in all areas, and possible options include compulsory social tariffs for the neediest clients, limiting fare increases to inflation-linked amounts, and reducing bad debt caused by non-paying customers, which adds £15 to each bill annually.', 'His objective is to decrease prices across the board, and potential solutions include mandatory social tariffs for the poorest customers, capping fare increases to inflation-linked amounts, and reducing bad debt caused by non-paying customers, which adds £15 to each bill annually.', 'He wants to see prices lowered in all areas, and potential measures include mandatory social tariffs for the most impoverished clients, capping fare increases to inflation-linked amounts, and reducing bad debt caused by non-paying customers, which adds £15 to each bill annually.']",sentence,cnn_news
"Costs: The Department for Environment, Food and Rural Affairs is to rush out action to limit water bill rises in an attempt to take back control of political debate over the cost of living .","['The Department for Environment, Food and Rural Affairs plans to quickly implement measures to restrict increases in water bills to regain control of the political discourse on the cost of living.', 'In an effort to regain control of the political conversation on the cost of living, the Department for Environment, Food and Rural Affairs will expedite action to limit the rise in water bills.', 'The Department for Environment, Food and Rural Affairs will take swift action to limit the increase in water bills in an attempt to regain control of the political debate on the cost of living.', 'To regain control of the political discourse on the cost of living, the Department for Environment, Food and Rural Affairs will hasten the implementation of measures to restrict the rise in water bills.', 'The Department for Environment, Food and Rural Affairs will rush to implement measures to limit the increase in water bills in an attempt to take back control of the political conversation on the cost of living.']",sentence,cnn_news
"Details of the action on water bills are expected to be announced in the middle of next week, with Downing Street denying it had been caught on the hop by Mr Miliband.","[""Downing Street is expected to reveal specifics about the water bill action in the middle of next week, while denying any surprise by Mr. Miliband's actions."", ""The announcement of the water bill action details is anticipated to occur in the middle of next week, with Downing Street refuting any unpreparedness for Mr. Miliband's actions."", ""The middle of next week is when Downing Street is projected to disclose the specifics of the water bill action, with a denial of being caught off guard by Mr. Miliband's actions."", ""Downing Street is set to announce the water bill action details in the middle of next week, with a denial of being caught unawares by Mr. Miliband's actions."", ""The specifics of the water bill action are expected to be announced by Downing Street in the middle of next week, with a denial of being caught off guard by Mr. Miliband's actions.""]",sentence,cnn_news
"Chancellor George Osborne signalled the government's plans in a speech last month when he said: 'There are important improvements we can make to the scale of energy and water bills, the cost of housing, the fees paid for everyday financial services, the expense of rail and road travel.","[""In a speech last month, Chancellor George Osborne indicated the government's intentions to enhance the affordability of energy and water bills, housing costs, financial service fees, and transportation expenses."", ""Chancellor George Osborne hinted at the government's proposals to reduce the costs of energy and water bills, housing, financial services, and rail and road travel in a speech last month."", ""The government's plans to improve the affordability of energy and water bills, housing costs, financial service fees, and transportation expenses were revealed by Chancellor George Osborne in a speech last month."", ""Chancellor George Osborne disclosed the government's intentions to make significant improvements to the affordability of energy and water bills, housing costs, financial service fees, and transportation expenses in a speech last month."", ""In a speech last month, Chancellor George Osborne outlined the government's plans to reduce the expenses of energy and water bills, housing, financial services, and rail and road travel.""]",sentence,cnn_news
But Mr Miliband appeared to steal a march on the government yesterday with his warning that the industry could not escape scrutiny at a time when families are struggling to make ends meet.,"['Yesterday, Mr Miliband warned that the industry would not be exempt from scrutiny during a time when families are struggling financially, seemingly outpacing the government.', 'Mr Miliband seemed to get ahead of the government by cautioning that the industry would face scrutiny during a time when families are having difficulty making ends meet.', ""The government was seemingly outpaced by Mr Miliband's warning that the industry would not be immune to scrutiny during a time when families are struggling financially."", ""Mr Miliband's warning that the industry would face scrutiny during a time when families are struggling financially appeared to give him an advantage over the government."", 'The government was seemingly behind Mr Miliband, who warned that the industry would not be exempt from scrutiny during a time when families are having difficulty making ends meet.']",sentence,cnn_news
